Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
30/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
29/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
26/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
25/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
24/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
23/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
22/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
19/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
18/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
17/06/2020;ZELLIDJA S.A;90,00;90,00;90,00;90,00;39;51556410,00
16/06/2020;ZELLIDJA S.A;90,00;90,00;90,00;90,00;11;51556410,00
15/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
12/06/2020;ZELLIDJA S.A;90,00;90,00;90,00;90,00;150;51556410,00
11/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
10/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
09/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
08/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
05/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
04/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
03/06/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
02/06/2020;ZELLIDJA S.A;90,00;90,00;90,00;90,00;99;51556410,00
01/06/2020;ZELLIDJA S.A;90,00;90,00;90,00;90,00;1;51556410,00
29/05/2020;ZELLIDJA S.A;0,00;89,65;-;-;0;51355912,90
28/05/2020;ZELLIDJA S.A;0,00;89,65;-;-;0;51355912,90
27/05/2020;ZELLIDJA S.A;89,65;89,65;89,65;89,65;225;51355912,90
26/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
22/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
21/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
20/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
19/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
18/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
15/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
14/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
13/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
12/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
11/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
08/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
07/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
06/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
05/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
04/05/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
30/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
29/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
28/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
27/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
24/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
23/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
22/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
21/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
20/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
17/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
16/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
15/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
14/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
13/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
10/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
09/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
08/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
07/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
06/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
03/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
02/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
01/04/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
